Semester,Course,Section,Enrollment
Fall 2012,English R1A,12,14
Fall 2012,English R1A,13,16
Fall 2012,English R1B,7,18
Fall 2012,English R1B,12,19
Fall 2012,English R1B,13,16
Fall 2012,English 45A,1,64
Fall 2012,English 45A,2,79
Fall 2012,English 45B,1,98
Fall 2012,English 45C,1,65
Fall 2012,English 104,1,35
Fall 2012,English 130C,1,56
Fall 2012,English 131,1,60
Fall 2012,English 132,1,72
Fall 2012,English 135AC,1,108
Fall 2012,English 143B,1,15
Fall 2012,English 143B,3,5
Fall 2012,English 166,1,23
Fall 2012,English 166,3,26
Fall 2012,English 166,4,38
Fall 2012,English 190,2,25
Fall 2012,English 190,5,11
Fall 2012,English 190,11,18
Fall 2012,English 190,15,14
Fall 2012,English 190,17,5
Fall 2012,English 203,2,6
Fall 2012,English 218,1,11
Fall 2012,English 243A,1,10
Fall 2012,English 298,8,1
Fall 2012,English 298,13,2
Fall 2012,English 298,32,1
Fall 2012,English R1A,1,17
Fall 2012,English R1A,21,16
Fall 2012,English R1A,2,19
Fall 2012,English R1A,3,17
Fall 2012,English R1A,4,17
Fall 2012,English R1A,5,18
Fall 2012,English R1A,7,17
Fall 2012,English R1A,8,15
Fall 2012,English R1A,9,16
Fall 2012,English R1A,10,15
Fall 2012,English R1A,11,20
Fall 2012,English R1A,14,17
Fall 2012,English R1A,15,17
Fall 2012,English R1A,16,16
Fall 2012,English R1A,17,15
Fall 2012,English R1A,18,16
Fall 2012,English R1A,19,19
Fall 2012,English R1A,20,15
Fall 2012,English R1B,1,19
Fall 2012,English R1B,2,17
Fall 2012,English R1B,3,17
Fall 2012,English R1B,4,15
Fall 2012,English R1B,5,15
Fall 2012,English R1B,6,18
Fall 2012,English R1B,8,17
Fall 2012,English R1B,9,19
Fall 2012,English R1B,10,15
Fall 2012,English R1B,11,17
Fall 2012,English 43A,1,13
Fall 2012,English 45B,2,100
Fall 2012,English 45C,2,95
Fall 2012,English C77,1,27
Fall 2012,English 114A,1,29
Fall 2012,English 116,1,26
Fall 2012,English 117A,1,45
Fall 2012,English 117S,1,104
Fall 2012,English 122,1,56
Fall 2012,English 125E,1,190
Fall 2012,English 126,1,58
Fall 2012,English 130A,1,61
Fall 2012,English 139,1,26
Fall 2012,English 141,1,93
Fall 2012,English 143A,1,13
Fall 2012,English 143A,2,14
Fall 2012,English 143B,2,16
Fall 2012,English 165,1,14
Fall 2012,English 165,2,24
Fall 2012,English 166,2,14
Fall 2012,English 175,1,41
Fall 2012,English 180H,1,107
Fall 2012,English 180L,1,31
Fall 2012,English 190,1,25
Fall 2012,English 190,3,23
Fall 2012,English 190,8,24
