Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,R1A,Reading And Comp,Primary,Lecture,,8,8,,135,,,337,135,132,,100,,0,,0,,16.875,,8
English,R1A,Reading And Comp,Primary,Lecture,7,,,126,,126,115,,,,100,,1,,1,,18,,7,
English,R1B,Reading And Comp,Primary,Lecture,,17,17,,289,,,334,289,286,,100,,0,,0,,17,,17
English,R1B,Reading And Comp,Primary,Lecture,10,,,167,,167,161,,,,100,,0,,0,,16.7,,10,
English,20,Modern Brit/Am Lit,Primary,Lecture,,1,1,,24,,,12,23,23,,95.8333333333333,,0,,0,,23,,0
English,24,Freshman Seminars,Primary,Seminar,,1,1,,10,,,17,10,10,,100,,0,,0,,10,,1
English,24,Freshman Seminars,Primary,Seminar,3,,,33,,33,53,,,,100,,0,,0,,11,,3,
English,26,Intro To Poetry,Primary,Lecture,,1,1,,26,,,28,26,26,,100,,0,,0,,26,,1
English,28,Intro To Drama,Primary,Lecture,1,,,27,,26,36,,,,96.2962962962963,,0,,0,,26,,0,
English,43A,Intro/Writ Fiction,Primary,Lecture,1,,,15,,12,46,,,,80,,0,,0,,12,,0,
English,43B,Intro/Writing Verse,Primary,Lecture,,1,1,,28,,,31,14,14,,50,,0,,0,,14,,0
English,43B,Intro/Writing Verse,Primary,Lecture,1,,,15,,7,16,,,,46.6666666666667,,0,,0,,7,,0,
English,45A,Lit In English,Primary,Lecture,,2,2,,93,,,34,93,92,,100,,0,,0,,46.5,,2
English,45A,Lit In English,Primary,Lecture,1,,,81,,81,42,,,,100,,0,,0,,81,,1,
English,45B,Lit In English,Primary,Lecture,,2,2,,101,,,4,101,97,,100,,0,,0,,50.5,,2
English,45B,Lit In English,Primary,Lecture,1,,,92,,91,51,,,,98.9130434782609,,0,,0,,91,,0,
