Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,1,,,27806,Kevis Bea Goodman; Sookyoung Lee,,English,R1A,002,A,Letter Grade,A+,Reading And Comp
1,1,,,27842,Kevis Bea Goodman; Ryan Mcwilliams,,English,R1B,004,A,Letter Grade,A+,Reading And Comp
1,4,,,27845,Kevis Bea Goodman; Khalil Sullivan,,English,R1B,005,A,Letter Grade,A+,Reading And Comp
1,1,,,27851,Gillian Osborne; Kevis Bea Goodman,,English,R1B,007,A,Letter Grade,A+,Reading And Comp
1,1,,,27852,Catherine Browning,,English,R1B,008,A,Letter Grade,A+,Reading And Comp
1,2,,,27856,Anne-Lise Francois,,English,26,002,A,Letter Grade,A+,Intro To Poetry
1,1,,,27881,Emily Thornbury,,English,45A,002,A,Letter Grade,A+,Lit In English
1,1,,,28028,Charles Altieri,,English,117S,001,A,Letter Grade,A+,Shakespeare
1,8,,,28073,Mitchell Breitwieser,,English,130B,001,A,Letter Grade,A+,Amer Lit: 1800-1865
1,1,,,28079,Abdul Janmohamed,,English,133B,001,A,Letter Grade,A+,Af Am Since 1917
1,4,,,28109,Poulomi Saha,,English,138,001,A,Letter Grade,A+,Stud Wor Lit Eng
1,1,,,28127,John Shoptaw,,English,143B,002,A,Letter Grade,A+,Verse
1,6,,,28130,Charles Roberson,,English,143B,003,A,Letter Grade,A+,Verse
1,1,,,28142,John Campion,,English,165,001,A,Letter Grade,A+,Special Topics
1,3,,,28154,Hertha Wong,,English,165,005,A,Letter Grade,A+,Special Topics
1,1,,,28166,Carla Serpell,,English,166,003,A,Letter Grade,A+,Special Topics
1,2,,,28190,Kathleen Donegan,,English,190,001,A,Letter Grade,A+,Research Seminar
1,2,,,28211,Stephen Best,,English,190,008,A,Letter Grade,A+,Research Seminar
1,2,,,28214,Eric Falci,,English,190,009,A,Letter Grade,A+,Research Seminar
1,1,,,28223,Lyn Hejinian,,English,190,012,A,Letter Grade,A+,Research Seminar
1,1,,,28742,Catherine Browning,,English,R1B,009,A,Letter Grade,A+,Reading And Comp
2,3,,,27803,Evan Klavon; Kevis Bea Goodman,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,6,,,27806,Kevis Bea Goodman; Sookyoung Lee,,English,R1A,002,A,Letter Grade,A,Reading And Comp
2,1,,,27812,Kevis Bea Goodman; Spencer Strub,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,2,,,27815,Jose Villagrana; Kevis Bea Goodman,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,3,,,27818,Aileen Liu; Kevis Bea Goodman,,English,R1A,006,A,Letter Grade,A,Reading And Comp
2,1,,,27821,Isaac Zisman; Kevis Bea Goodman,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,6,,,27824,Esther Yu; Kevis Bea Goodman,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,6,,,27827,Kevis Bea Goodman; Lucy Sirianni,,English,R1A,009,A,Letter Grade,A,Reading And Comp
2,10,,,27830,Kevis Bea Goodman; Matthew Ramirez,,English,R1A,010,A,Letter Grade,A,Reading And Comp
2,2,,,27833,Anna Abramson; Kevis Bea Goodman,,English,R1B,001,A,Letter Grade,A,Reading And Comp
2,1,,,27836,Christopher Miller; Kevis Bea Goodman,,English,R1B,002,A,Letter Grade,A,Reading And Comp
2,2,,,27839,Amy Lee; Kevis Bea Goodman,,English,R1B,003,A,Letter Grade,A,Reading And Comp
