Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,3,,,27818,Kevis Bea Goodman; Khalil Sullivan,,English,R1A,006,A,Letter Grade,A+,Reading And Comp
1,1,,,27842,Kevis Bea Goodman; Matthew Ramirez,,English,R1B,007,A,Letter Grade,A+,Reading And Comp
1,1,,,27848,Catherine Browning,,English,R1B,009,A,Letter Grade,A+,Reading And Comp
1,1,,,27854,Catherine Browning,,English,R1B,011,A,Letter Grade,A+,Reading And Comp
1,2,,,27872,Mitchell Breitwieser,,English,27,002,A,Letter Grade,A+,Intro To Fiction
1,7,,,27917,Eric Falci,,English,45C,001,A,Letter Grade,A+,Lit In English
1,9,,,28082,Geoffrey O'Brien,,English,131,001,A,Letter Grade,A+,American Poetry
1,3,,,28091,Kirsten Tranter,,English,141,002,A,Letter Grade,A+,Modes Of Writing
1,4,,,28100,Geoffrey O'Brien,,English,143B,001,A,Letter Grade,A+,Verse
1,3,,,28172,Mitchell Breitwieser,,English,190,007,A,Letter Grade,A+,Research Seminar
1,1,,,28178,Jeffrey Knapp,,English,190,009,A,Letter Grade,A+,Research Seminar
1,1,,,28190,D Miller,,English,190,012,A,Letter Grade,A+,Research Seminar
1,2,,,28196,Samuel Otter,,English,H195B,001,A,Letter Grade,A+,Honors Course
1,1,,,28388,Celeste Langan,,English,246G,001,A,Letter Grade,A+,Grad Pro-Seminars
1,1,,,28397,Charles Altieri,,English,250,002,A,Letter Grade,A+,Research Seminars
2,3,,,27803,Aristides Dimitriou; Kevis Bea Goodman,,English,R1A,001,A,Letter Grade,A,Reading And Comp
2,1,,,27809,David Vandeloo; Kevis Bea Goodman,,English,R1A,003,A,Letter Grade,A,Reading And Comp
2,1,,,27812,Chad Crosson; Kevis Bea Goodman,,English,R1A,004,A,Letter Grade,A,Reading And Comp
2,5,,,27815,Christopher Mead; Kevis Bea Goodman,,English,R1A,005,A,Letter Grade,A,Reading And Comp
2,6,,,27818,Kevis Bea Goodman; Khalil Sullivan,,English,R1A,006,A,Letter Grade,A,Reading And Comp
2,3,,,27821,Kevis Bea Goodman; Ryan Mcwilliams,,English,R1A,007,A,Letter Grade,A,Reading And Comp
2,1,,,27823,Nilofar Gardezi,,English,R1A,008,A,Letter Grade,A,Reading And Comp
2,3,,,27824,Jose Villagrana; Kevis Bea Goodman,,English,R1B,001,A,Letter Grade,A,Reading And Comp
2,5,,,27827,Kevis Bea Goodman; Sharon Hsu,,English,R1B,002,A,Letter Grade,A,Reading And Comp
2,2,,,27830,Alexander Jeziorek; Kevis Bea Goodman,,English,R1B,003,A,Letter Grade,A,Reading And Comp
2,1,,,27833,Kevis Bea Goodman; Lucy Sirianni,,English,R1B,004,A,Letter Grade,A,Reading And Comp
