Course Subject Short Nm,Course Number,Course Title Nm,Offering Type Desc,Instructional Format Nm,Offerings Cnt,Offerings Cnt Prior Yr,Offerings Cnt EOT Prior Yr,Enrollment Limit,Enrollment Limit Prior Yr,Enrollment Cnt ,Rejected Student Cnt,Rejected Student Cnt Prior Yr,Enrollment Cnt Prior Yr,Enrollment Cnt EOT Prior Yr,% Class Filled,% Class Filled Prior Yr,Waitlist Cnt,Waitlist Cnt Prior Yr,Waitlist Limit Cnt,Waitlist Limit Cnt Prior Yr,Avg Class Size,Avg Class Size Prior Yr,Crse at Capacity Cnt,Crse at Capacity Cnt Prior Yr
English,R1A,Reading And Comp,Primary,Lecture,,7,7,,116,,,175,116,115,,100,,0,,0,,16.5714285714286,,7
English,R1A,Reading And Comp,Primary,Lecture,8,,,132,,131,413,,,,99.2424242424243,,0,,0,,16.375,,7,
English,R1B,Reading And Comp,Primary,Lecture,,22,22,,349,,,323,349,343,,100,,0,,0,,15.8636363636364,,22
English,R1B,Reading And Comp,Primary,Lecture,12,,,200,,199,306,,,,99.5,,0,,0,,16.5833333333333,,11,
English,20,Modern Brit/Am Lit,Primary,Lecture,,1,1,,24,,,9,10,10,,41.6666666666667,,0,,0,,10,,0
English,24,Freshman Seminars,Primary,Seminar,,4,4,,41,,,127,40,40,,97.5609756097561,,0,,0,,10,,3
English,24,Freshman Seminars,Primary,Seminar,5,,,60,,59,112,,,,98.3333333333333,,0,,0,,11.8,,4,
English,26,Intro To Poetry,Primary,Lecture,1,,,23,,23,12,,,,100,,0,,0,,23,,1,
English,27,Intro To Fiction,Primary,Lecture,2,,,43,,43,49,,,,100,,0,,0,,21.5,,2,
English,37,Chicana/O Lit & Cul,Primary,Lecture,,1,1,,18,,,2,17,17,,94.4444444444444,,0,,0,,17,,0
English,43B,Intro/Writing Verse,Primary,Lecture,,1,1,,28,,,17,7,7,,25,,0,,0,,7,,0
English,43B,Intro/Writing Verse,Primary,Lecture,1,,,28,,10,19,,,,35.7142857142857,,0,,0,,10,,0,
English,45A,Lit In English,Primary,Lecture,,1,1,,93,,,22,92,90,,98.9247311827957,,0,,0,,92,,0
English,45A,Lit In English,Primary,Lecture,2,,,94,,94,9,,,,100,,0,,0,,47,,2,
English,45B,Lit In English,Primary,Lecture,,2,2,,121,,,36,121,121,,100,,0,,0,,60.5,,2
English,45B,Lit In English,Primary,Lecture,2,,,148,,147,26,,,,99.3243243243243,,0,,0,,73.5,,1,
English,45C,Lit In English,Primary,Lecture,,2,2,,113,,,49,113,111,,100,,0,,0,,56.5,,2
English,45C,Lit In English,Primary,Lecture,2,,,132,,132,42,,,,100,,1,,1,,66,,2,
English,80K,Children'S Lit,Primary,Lecture,1,,,117,,116,59,,,,99.1452991452992,,0,,0,,116,,0,
English,84,Sophomore Seminar,Primary,Seminar,,2,2,,35,,,76,33,33,,94.2857142857143,,0,,0,,16.5,,0
English,84,Sophomore Seminar,Primary,Seminar,1,,,21,,21,32,,,,100,,0,,0,,21,,1,
English,98,Directed Group Stdy,Primary,Directed Group Study,,10,10,,421,,,17,121,121,,28.7410926365796,,0,,0,,12.1,,0
English,98,Directed Group Stdy,Primary,Directed Group Study,12,,,304,,115,0,,,,37.8289473684211,,0,,0,,9.58333333333333,,0,
English,98BC,Directed Group Stud,Primary,Directed Group Study,3,,,52,,52,0,,,,100,,0,,0,,17.3333333333333,,3,
English,102,Topics In Eng Lang,Primary,Lecture,,1,1,,23,,,22,23,21,,100,,0,,0,,23,,1
English,110,Medieval Literature,Primary,Lecture,,1,1,,64,,,42,62,61,,96.875,,0,,0,,62,,0
English,111,Chaucer,Primary,Lecture,,1,1,,24,,,19,24,24,,100,,0,,0,,24,,1
English,112,Middle Eng Lit,Primary,Lecture,1,,,15,,15,5,,,,100,,0,,0,,15,,1,
English,114A,English Drama,Primary,Lecture,,1,1,,34,,,28,33,33,,97.0588235294118,,0,,0,,33,,0
English,114A,English Drama,Primary,Lecture,1,,,28,,28,9,,,,100,,0,,0,,28,,1,
